video_id,title,publishedAt,channelTitle,viewCount,likeCount,commentCount,categoryId
XTCB0zJLmIg,Loving Mother & Herd Do All They Can to Save Baby Buffalo from Lions,2025-04-22T14:01:37Z,Latest Sightings,1551134,12111,1862,15
WzPHuc1M1Gg,BABY DADDY COOK OFF !! (INTENSE),2025-04-23T23:00:23Z,Angel. G,145973,4324,189,22
hUCUIcLuxd8,"Minecraft, But ALL Damage Is PERMANENT",2025-04-23T16:01:09Z,WadZee,848237,57695,7060,20
lY3MIsmE8mQ,"If You Build It, I'll Destroy It in Wobbly Life!",2025-04-23T20:00:36Z,UnspeakablePlays,252507,6531,551,20
F54_B5vyxvY,We went to Coachella!,2025-04-22T17:57:09Z,Jake Webber,847126,41675,2478,24
PgSLcisNIPg,"I Bought $20,000 of Groceries, Then Gave It All Away",2025-04-23T23:09:43Z,ThatWasEpic,625021,56237,3028,23
i8oqrucfXQo,Subnautica 2 Dev Vlog - Road to Early Access,2025-04-23T16:00:09Z,Subnautica,638209,57205,8342,20
ycB1G6r4df8,GROWING UP IN ROBLOX!,2025-04-23T13:27:07Z,Foltyn,1112065,22353,4061,20
8J646zM7UM8,Heads of State - Official Trailer | Prime Video,2025-04-23T14:00:08Z,Prime Video,2298595,36717,2383,24
MtVWAPCwB38,Tiger Woods and Nelly Korda: How To Score From Inside 100 Yards,2025-04-23T13:45:46Z,TaylorMade Golf,618302,11825,633,17
kk5cymSWmqo,The Elder Scrolls IV: Oblivion Remastered - Official Reveal,2025-04-22T15:19:22Z,Bethesda Softworks,2235180,112537,16918,20
U7NL0gpPLbo,Unc Tried to Bully Me!,2025-04-23T01:36:21Z,Baylen Levine,479515,16947,843,24
Ga67qLve5ko,Ranking The SPICIEST Fast Food (Taste Test),2025-04-23T10:00:27Z,Good Mythical Morning,1336462,35013,948,24
owi2pdiHNdQ,10 ESSENTIAL Tips For Oblivion Remastered!,2025-04-23T16:44:46Z,Ziostorm,131820,3628,406,20
Lolgz_uw6wQ,INTER-MILAN 0-3 | HIGHLIGHTS | Two-Goal Jovic The Hero For Milan | Coppa Italia Frecciarossa 2024/25,2025-04-23T21:26:02Z,Serie A,3175115,52607,2188,17
ymIbZLYBBZU,Bloodhound Q50 - Been Been (Official Music Video),2025-04-22T21:48:43Z,Bloodhound Q50,347717,18732,1264,22
cHKwNuQ2vYE,i bought every ai ad i saw for a week,2025-04-22T18:36:40Z,BENOFTHEWEEK,1201930,66317,4601,20
R2t5ZUOEgqA,"Chris Eubank Jr MISSES weight by 0.05 pounds at official weigh-in and FINED reportedly $500,000",2025-04-25T12:21:19Z,Sky Sports Boxing,331160,3007,2993,17
s0GDWq4lQrY,Sinners Movie Explained (SPOILERS),2025-04-22T22:37:54Z,Thomas Thorogood,213705,7119,982,24
REYF3QFVHVc,mgk - Come Pick Me Up (Cover),2025-04-22T18:05:16Z,mgk,686362,38983,3752,10
Vup5ZckgvVs,Can You Sing A Different Song?,2025-04-22T15:00:50Z,Idols Global,692349,2465,319,24
9QABNfDhSxs,I KNOW WHAT YOU DID LAST SUMMER - Official Trailer (HD),2025-04-22T13:00:13Z,Sony Pictures Entertainment,1037081,33208,4603,24
vOU1hmjoHX0,Pedestrian dies after being hit by driver in North Portland,2025-04-22T12:35:40Z,"KPTV FOX 12 | Local news, weather Portland, Oregon",45800,77,23,25
tx1FHTZiuAY,"MCLAREN ASKED TO SEE MY £1,200,000 P1 I BOUGHT",2025-04-23T17:01:17Z,Mark McCann,1241800,42131,6951,2
yIZRffLA294,How the Trucking Industry Got So Terrible,2025-04-22T17:34:13Z,Wendover Productions,1698595,36382,3230,27
yLjSAEeECQ4,Chris Eubank Jr and Conor Benn's HEATED final press conference!,2025-04-24T19:27:22Z,Sky Sports Boxing,538099,5281,2963,17
NYNBAxDfgrY,Your Time Machine Broke - At The Worst Time In History,2025-04-22T14:00:01Z,Kurzgesagt – In a Nutshell,3181276,135897,6703,27
sxTlJD6w5IQ,THANK GOD IT WAS BROKEN  - Elder Scrolls OBLIVION Is A Perfectly Balanced Game With NO EXPLOITS,2025-04-22T15:26:02Z,The Spiffing Brit,1965205,74961,3240,20
HLbCt3TZAHI,I Was Suspended From The PGA Tour.,2025-04-22T21:04:54Z,Bryan Bros Golf,650770,29826,4454,17
hBmF8_JDvmQ,Ghost - Peacefield (Official Audio),2025-04-22T16:00:08Z,Ghost,765118,50967,4089,24
thNHIlphAzA,We Just Saw The New Hardest Throw Ever By an MLB Catcher,2025-04-23T00:29:23Z,Made The Cut,319022,1862,245,17
cL3GIEPWink,"FULL SEGMENT: Randy Orton ROCKS John Cena with the RKO: Raw highlights, April 21, 2025",2025-04-22T01:09:21Z,WWE,5338092,167242,16799,17
ArV1zSpoUFo,Can We Beat Josh Allen & Jon Rahm in a Golf Match?,2025-04-21T16:00:01Z,Grant Horvat Golf,1753852,62227,5375,17
cW8xz2edXSE,Zombies 4: Dawn of the Vampires | Teaser Trailer | Disney+,2025-04-22T15:00:02Z,Disney Plus,3558546,16693,1269,22
BwYsqzUUvdo,"NHL Highlights | Wild vs. Golden Knights | Gm 2 | April 22, 2025",2025-04-23T05:56:16Z,NHL,190178,2294,238,17
rOySakaGuZs,The Elder Scrolls 4: Oblivion Remastered - 15 NEW Things You Need To Know Before You Buy,2025-04-22T19:45:06Z,GamingBolt,358305,7162,1767,20
YgOyoGKq4Ys,Oblivion Remastered is UNBELIEVABLY Perfect,2025-04-22T22:52:49Z,Kevduit,778252,37324,3291,20
4Q4nDw1D8kg,The New Mike Tyson? Moses Itauma — A Teen Prodigy with Brutal Power!  ...He’s Just Getting Started!,2025-04-11T23:15:33Z,History of Boxing EN,4468387,41690,5706,17
aHYvmY3nV5U,Aria Bela - Pilates (Official Video),2025-04-23T02:36:08Z,Aria Bela,1580019,114546,28766,22
azLcyJnxGYw,I tried the 'Elder Scrolls IV: Oblivion' Remaster...,2025-04-22T23:10:07Z,Luke Stephens,763225,22908,4204,20
BpKvtt7X71o,"NHL Highlights | Maple Leafs vs. Senators | Gm 3 | April 24, 2025",2025-04-25T02:17:11Z,NHL,201927,2052,443,17
kG2A1xFWTKc,"After Pope Francis, what happens next? | ABC NEWS",2025-04-21T09:30:33Z,ABC News (Australia),459001,4614,0,25
Jo1MWNxayFA,Israel Adesanya and David Goggins Chat Before Their BRUTAL Training Session,2025-04-22T19:48:02Z,FREESTYLEBENDER,1125149,41826,2300,17
62h96m-vhY8,DOES IT SUCK? - Elder Scrolls IV: Oblivion Remastered Review/Impressions! (PS5 Pro/Xbox),2025-04-22T18:08:20Z,DreamcastGuy,284679,5790,1852,20
WXYAcF1DKGE,Mark ALLEN 147 Wins Lucky Fan £25k! 🤑 | Halo World Championship 2025,2025-04-25T11:25:17Z,WST,329908,4625,1002,17
k2JvPVyYsoQ,Elder Scrolls Oblivion Remastered Review - Before & After!,2025-04-22T19:20:58Z,Glitch Unlimited,163837,2110,748,20
0t93yjb-B3w,games that COMPLETELY break roblox,2025-04-22T22:15:00Z,Sketch,372523,10613,948,20
Rzvat8VBlo8,The Trial of Luka Dončić | Jordan Brand,2025-04-22T14:00:21Z,Jordan,2908061,52676,3051,22
E00RURmKn5c,‘HE HASN’T F***** SHOWN UP’ - EDDIE HEARN FUMES AT CHRIS EUBANK JR WEIGH IN VS CONOR BENN,2025-04-25T11:21:57Z,iFL TV,83009,770,551,17
Rz7aq1mRHW0,The All-American Rejects - Sandbox (Official Music Video),2025-04-24T04:00:07Z,AllAmericanRjctsVEVO,100394,4526,535,10
x0dei8L8pJY,Elder Scrolls IV: Oblivion Remastered - The Early Reviews Say It All...,2025-04-22T21:20:18Z,Open World Games,220366,4079,1753,20
ySYnTO7leqI,Rick and Morty | Season 8 Official Trailer | adult swim,2025-04-22T13:01:50Z,Adult Swim,1304188,39715,2467,1
k4utXKvOpYM,Watch the Destiny 2: The Edge of Fate Reveal on May 6 at 9 AM PT.,2025-04-22T15:01:12Z,Destiny 2,269401,8684,1039,20
Ud2BcD5NC2A,The IMPOSSIBLE Camera,2025-04-22T12:21:40Z,CaseyNeistat,942815,53377,2500,22
OIuG1bBkfs0,"It’s Our Birthday, Let’s Party",2025-04-22T10:00:40Z,YouTube,4891451,222482,44294,24
HwThuMZ80RA,Morgan Wallen - I’m The Problem (The Shop Sessions),2025-04-21T18:00:25Z,MorganWallenVEVO,381117,12492,898,10
ND35iZhfO5c,"Carrie Underwood Praises with ""How Great Thou Art!"" | American Idol",2025-04-21T03:00:17Z,American Idol,1671275,25737,4783,24
